"","provincia","titulares","periodo"
"1","Buenos Aires",237,2020-03-01
"2","Buenos Aires",149,2020-03-01
"3","Buenos Aires",276,2020-03-01
"4","Buenos Aires",222,2020-03-01
"5","Buenos Aires",113,2020-03-01
"6","Buenos Aires",14046,2020-03-01
"7","Buenos Aires",123,2020-03-01
"8","Buenos Aires",9614,2020-03-01
"9","Buenos Aires",183,2020-03-01
"10","Buenos Aires",337,2020-03-01
"11","Buenos Aires",1075,2020-03-01
"12","Buenos Aires",173,2020-03-01
"13","Buenos Aires",465,2020-03-01
"14","Buenos Aires",74,2020-03-01
"15","Buenos Aires",10976,2020-03-01
"16","Buenos Aires",3336,2020-03-01
"17","Buenos Aires",96,2020-03-01
"18","Buenos Aires",241,2020-03-01
"19","Buenos Aires",471,2020-03-01
"20","Buenos Aires",826,2020-03-01
"21","Buenos Aires",15,2020-03-01
"22","Buenos Aires",271,2020-03-01
"23","Buenos Aires",40,2020-03-01
"24","Buenos Aires",55,2020-03-01
"25","Buenos Aires",62,2020-03-01
"26","Buenos Aires",2206,2020-03-01
"27","Buenos Aires",257,2020-03-01
"28","Buenos Aires",522,2020-03-01
"29","Buenos Aires",857,2020-03-01
"30","Buenos Aires",238,2020-03-01
"31","Buenos Aires",188,2020-03-01
"32","Buenos Aires",64,2020-03-01
"33","Buenos Aires",16,2020-03-01
"34","Buenos Aires",112,2020-03-01
"35","Buenos Aires",49,2020-03-01
"36","Buenos Aires",58,2020-03-01
"37","Buenos Aires",2892,2020-03-01
"38","Buenos Aires",3685,2020-03-01
"39","Buenos Aires",8856,2020-03-01
"40","Buenos Aires",95,2020-03-01
"41","Buenos Aires",5126,2020-03-01
"42","Buenos Aires",21802,2020-03-01
"43","Buenos Aires",98,2020-03-01
"44","Buenos Aires",751,2020-03-01
"45","Buenos Aires",22,2020-03-01
"46","Buenos Aires",102,2020-03-01
"47","Buenos Aires",90,2020-03-01
"48","Buenos Aires",9,2020-03-01
"49","Buenos Aires",78,2020-03-01
"50","Buenos Aires",79,2020-03-01
"51","Buenos Aires",456,2020-03-01
"52","Buenos Aires",20,2020-03-01
"53","Buenos Aires",345,2020-03-01
"54","Buenos Aires",70,2020-03-01
"55","Buenos Aires",10747,2020-03-01
"56","Buenos Aires",2584,2020-03-01
"57","Buenos Aires",9510,2020-03-01
"58","Buenos Aires",161,2020-03-01
"59","Buenos Aires",29,2020-03-01
"60","Buenos Aires",62,2020-03-01
"61","Buenos Aires",25,2020-03-01
"62","Buenos Aires",3070,2020-03-01
"63","Buenos Aires",2141,2020-03-01
"64","Buenos Aires",11725,2020-03-01
"65","Buenos Aires",551,2020-03-01
"66","Buenos Aires",715,2020-03-01
"67","Buenos Aires",38174,2020-03-01
"68","Buenos Aires",21255,2020-03-01
"69","Buenos Aires",9213,2020-03-01
"70","Buenos Aires",24,2020-03-01
"71","Buenos Aires",58,2020-03-01
"72","Buenos Aires",147,2020-03-01
"73","Buenos Aires",155,2020-03-01
"74","Buenos Aires",117,2020-03-01
"75","Buenos Aires",490,2020-03-01
"76","Buenos Aires",16761,2020-03-01
"77","Buenos Aires",1437,2020-03-01
"78","Buenos Aires",65,2020-03-01
"79","Buenos Aires",30,2020-03-01
"80","Buenos Aires",5595,2020-03-01
"81","Buenos Aires",183,2020-03-01
"82","Buenos Aires",1759,2020-03-01
"83","Buenos Aires",758,2020-03-01
"84","Buenos Aires",6541,2020-03-01
"85","Buenos Aires",76,2020-03-01
"86","Buenos Aires",29,2020-03-01
"87","Buenos Aires",11093,2020-03-01
"88","Buenos Aires",3133,2020-03-01
"89","Buenos Aires",504,2020-03-01
"90","Buenos Aires",849,2020-03-01
"91","Buenos Aires",283,2020-03-01
"92","Buenos Aires",505,2020-03-01
"93","Buenos Aires",116,2020-03-01
"94","Buenos Aires",27,2020-03-01
"95","Buenos Aires",688,2020-03-01
"96","Buenos Aires",62,2020-03-01
"97","Buenos Aires",4568,2020-03-01
"98","Buenos Aires",156,2020-03-01
"99","Buenos Aires",5675,2020-03-01
"100","Buenos Aires",118,2020-03-01
"101","Buenos Aires",25,2020-03-01
"102","Buenos Aires",16471,2020-03-01
"103","Buenos Aires",214,2020-03-01
"104","Buenos Aires",86,2020-03-01
"105","Buenos Aires",297,2020-03-01
"106","Buenos Aires",99,2020-03-01
"107","Buenos Aires",116,2020-03-01
"108","Buenos Aires",163,2020-03-01
"109","Buenos Aires",35,2020-03-01
